xpts
1.2207031250000000e-04,1.8825674653768060e-01
1.2207140246484061e-04,3.1137308019621429e-01
1.8825674653768060e-01,6.6666666666666663e-01
ypts
1.0000000000000000e+00,1.0173611111111112e+00
1.0089290410592764e+00,1.0228791026732074e+00
1.0173611111111112e+00,1.0347222222222223e+00
xEnd
1.2207031250000000e-04,6.6666666666666663e-01
yEnd
1.0000000000000000e+00,1.0347222222222223e+00
dydxEnd
8.1920433647320429e+06,3.3333333333332993e-02
d2ydx2End
-6.4864330144287685e+23,-5.6011811778436905e-03
