time	force
0.000000000000000e+00	5.146601595982922e+00
4.577520110172983e-02	5.143179002507608e+00
7.657854237955036e-02	5.139756409032294e+00
1.017512728978213e-01	5.562002210574370e+00
1.169752575962436e-01	8.077508404081406e+00
1.252151513880606e-01	1.035765573457826e+01
1.307107475023991e-01	1.184469481338658e+01
1.403741290350850e-01	1.379409515622361e+01
1.528354807338397e-01	1.577624349572214e+01
1.708671033136669e-01	1.818753838529577e+01
1.912385352511629e-01	2.051041627675714e+01
2.107130921256961e-01	2.231547133264667e+01
2.411383923969252e-01	2.436174144233043e+01
2.613659198360273e-01	2.541737817081857e+01
2.962577045925404e-01	2.700032765315101e+01
3.367640983728744e-01	2.838429999662320e+01
3.800894645974211e-01	2.950348806305067e+01
4.150465897748264e-01	3.016078158274154e+01
4.574727473499499e-01	3.079520595512009e+01
4.863866614569667e-01	3.111156249294053e+01
5.255652445413099e-01	3.147085702163309e+01
5.843482874798174e-01	3.179491439477299e+01
6.627474582047915e-01	3.191843890474566e+01
6.929907387321063e-01	3.191507854024263e+01
7.495662088790367e-01	3.177655684795085e+01
8.069817701517257e-01	3.163794181220066e+01
8.377944457753879e-01	3.150228265263370e+01
8.826086401616959e-01	3.136506776875976e+01
9.204220751666810e-01	3.122863074703932e+01
9.582355101716662e-01	3.109219372531887e+01
9.848477301665348e-01	3.095700128304399e+01
1.036202189539305e+00	3.073090268376572e+01
1.082886364542580e+00	3.054940151462031e+01
1.121213188568862e+00	2.975172980496469e+01
1.130659546560727e+00	2.816385386232687e+01
1.136390834907570e+00	2.631191964732094e+01
1.143627286521397e+00	2.297216849135320e+01
1.148002761134724e+00	2.049226615984260e+01
1.153774887244625e+00	1.806179696818568e+01
1.160972834681855e+00	1.526752164734602e+01
1.172383489076796e+00	1.229921911621897e+01
1.182294036308750e+00	1.074710538608741e+01
1.192664494538950e+00	9.291362294587437e+00
1.218939122359208e+00	7.326949212188254e+00
1.255445748946346e+00	5.868302101981968e+00
1.286267758915850e+00	5.600406376323342e+00
1.319893406332827e+00	5.284972160770600e+00
1.359103235230686e+00	5.201617664656354e+00
1.389909970816085e+00	5.150109047147716e+00
1.416510469842596e+00	5.180963656612924e+00
1.500000000000000e+00	5.118909703319034e+00
