time	force
1.412653617436431e-01	1.168298451650429e+00
1.723169829226531e-01	1.941766656970721e+00
2.027912025251701e-01	2.306711731315765e+00
2.335644193232286e-01	2.730052601136244e+00
2.615609708094353e-01	2.818826706220896e+00
2.976822461164778e-01	2.852256862442800e+00
3.301647158627474e-01	2.863576175518197e+00
3.805608490624302e-01	2.990212134104794e+00
4.133866319392996e-01	2.986564824896249e+00
4.421675316180712e-01	2.983366947154167e+00
5.401688286107492e-01	3.104713443097097e+00
5.653715623835115e-01	3.101913139344568e+00
7.808042639774877e-01	2.945740643558672e+00
8.006064119418008e-01	2.943540404895977e+00
8.920923355369279e-01	2.801139773332181e+00
9.308298707802476e-01	2.796835602749589e+00
1.012514731241523e+00	2.655523978200662e+00
1.068072757691701e+00	2.384879806266419e+00
1.101779080526310e+00	9.265438409215179e-01
1.167931589506890e+00	-6.455140448913710e-03
1.214416631798874e+00	-1.162014514802223e-02
1.248260302865154e+00	-1.538055304428099e-02
1.348271151169766e+00	-2.649286952257057e-02
