time	force
1.759829070085149e-01	5.219640732234971e+00
2.183734786131702e-01	6.358199686243864e+00
2.626773954267951e-01	6.838140634941219e+00
3.150356081224166e-01	6.938111478906514e+00
3.453938543929823e-01	6.983270904932603e+00
3.844787285852868e-01	6.992906917587312e+00
4.152812212862127e-01	7.001505830120337e+00
4.460841382755858e-01	7.004093989649185e+00
4.768849338227222e-01	7.036735914198864e+00
5.076853050814112e-01	7.075388591752713e+00
5.384886463592318e-01	7.071965998277399e+00
5.692919876370522e-01	7.068543404802092e+00
6.000953289148728e-01	7.065120811326778e+00
6.308986701926933e-01	7.061698217851465e+00
6.617020114705139e-01	7.058275624376151e+00
6.925053527483344e-01	7.054853030900837e+00
7.233086940261548e-01	7.051430437425523e+00
7.541120353039754e-01	7.048007843950209e+00
7.849153765817960e-01	7.044585250474896e+00
8.165241385579631e-01	6.965510006415386e+00
8.594127907449129e-01	6.904072231070217e+00
9.024855050589724e-01	6.879996250467421e+00
9.473516629201697e-01	6.762065716330845e+00
9.941660742725698e-01	6.624628586127351e+00
1.032197065370898e+00	6.562532550079403e+00
1.100035891440361e+00	5.786393217220485e+00
1.116938058173334e+00	4.362983262566857e+00
1.140933549883895e+00	1.627449498684179e+00
1.167623556094112e+00	3.902856723121815e-01
