time	force
1.522388716163692e-02	1.576214311508274e+00
4.602722843945745e-02	1.572791718032960e+00
7.683056971727797e-02	1.569369124557646e+00
1.006173350833215e-01	1.790791908002220e+00
1.144339819408234e-01	4.408254839899406e+00
1.199179101228597e-01	6.060589626322297e+00
1.240250222932357e-01	7.382488569946744e+00
1.308764321410903e-01	9.497495765259728e+00
1.377465106806285e-01	1.134802982838940e+01
1.446422586712315e-01	1.283491333476702e+01
1.557104592531029e-01	1.471803982212752e+01
1.691068012603409e-01	1.667804501899032e+01
1.806728336204398e-01	1.812033109523507e+01
1.959461570040258e-01	1.993687258225766e+01
2.265581441920901e-01	2.264429959366124e+01
2.502580482843284e-01	2.409625708934760e+01
2.949228931371681e-01	2.607482726294014e+01
3.401026827356118e-01	2.737012332091556e+01
3.815876271050241e-01	2.811484854665761e+01
4.240246747502964e-01	2.859499692526256e+01
4.585430856731388e-01	2.885563260415537e+01
5.117364111767367e-01	2.902603627324445e+01
5.691426381035841e-01	2.901965780358591e+01
6.139474981440504e-01	2.901467948580364e+01
6.517609331490355e-01	2.887824246408320e+01
7.287879550352705e-01	2.860521284821160e+01
7.761224227988544e-01	2.846771793396243e+01
8.214966779356685e-01	2.833044082111622e+01
8.903125869297650e-01	2.801424504147416e+01
9.486724728567790e-01	2.772125029699658e+01
1.033828776536606e+00	2.732830545154446e+01
1.055116685663333e+00	2.724659881094288e+01
1.119583411784890e+00	2.639312845614428e+01
1.129532424300334e+00	2.429608987657670e+01
1.135282381338861e+00	2.217968252938746e+01
1.141039339136768e+00	1.996409775762947e+01
1.145356474088584e+00	1.831067396419171e+01
1.154014079856820e+00	1.467323496208706e+01
1.161185191049755e+00	1.225913976876089e+01
1.165490658069269e+00	1.077101168293770e+01
1.185386816230988e+00	6.603381837020862e+00
1.196709377737048e+00	4.883061898383801e+00
1.256809502299740e+00	2.232372886781476e+00
1.292130576681373e+00	1.885138730025929e+00
1.322949192343298e+00	1.665329028400627e+00
1.353759746524724e+00	1.559723633854496e+00
1.384565633533228e+00	1.520236522354189e+00
1.415371096253285e+00	1.486760163858044e+00
1.446178680415580e+00	1.423230040341075e+00
1.476981173116505e+00	1.431828952874085e+00
1.495184420373287e+00	1.411774252262539e+00
