time	force
1.371717932459438e-03	1.929731431966614e+01
6.972325437517746e-03	1.929669202994335e+01
1.677338857136973e-02	1.929560302292848e+01
2.657445170522171e-02	1.929451401591361e+01
3.217505921027997e-02	1.929389172619083e+01
5.177718547798393e-02	1.929171371216108e+01
5.737779298304224e-02	1.929109142243830e+01
7.418894984405883e-02	1.915698798717829e+01
7.978955734911714e-02	1.915636569745551e+01
8.399001297791081e-02	1.915589898016342e+01
8.959062048296912e-02	1.915527669044063e+01
9.938234927097933e-02	1.928642424951742e+01
1.049666216708145e-01	1.951721595045503e+01
1.091460750214642e-01	1.981428150686916e+01
1.132998589210491e-01	2.047499762003534e+01
1.119183757364681e-01	2.021068006028273e+01
1.202212763627170e-01	2.159823056966092e+01
1.229889099047999e-01	2.206074740612031e+01
1.271356930450035e-01	2.282064094385523e+01
1.257565434468829e-01	2.252326424257971e+01
1.285148426431241e-01	2.311801764513076e+01
1.326802944750112e-01	2.361343805068237e+01
1.340641112460527e-01	2.384469646891207e+01
1.368317447881356e-01	2.430721330537147e+01
1.410065309658645e-01	2.467039714483142e+01
1.423903477369060e-01	2.490165556306112e+01
1.479582850315181e-01	2.536386125465912e+01
1.521330712092470e-01	2.572704509411908e+01
1.549147062700926e-01	2.599120708144100e+01
1.590894924478214e-01	2.635439092090096e+01
1.632642786255503e-01	2.671757476036092e+01
1.674437319762000e-01	2.701464031677505e+01
1.730210036166538e-01	2.734460944228140e+01
1.772004569673036e-01	2.764167499869554e+01
1.813892446637951e-01	2.780650398901802e+01
1.841755468975616e-01	2.800454769329410e+01
1.869571819584072e-01	2.826870968061602e+01
1.939369390615861e-01	2.856546409216876e+01
1.995235450478818e-01	2.876319665158345e+01
2.051008166883356e-01	2.909316577708980e+01
2.106874226746313e-01	2.929089833650450e+01
2.148762103711228e-01	2.945572732682698e+01
2.204674835303392e-01	2.958734160319585e+01
2.274519078064391e-01	2.981797773170276e+01
2.330431809656555e-01	2.994959200807164e+01
2.498123332703841e-01	3.041055312022407e+01
2.554059400160611e-01	3.050910825507002e+01
2.721820930801711e-01	3.087089194265372e+01
2.777733662393876e-01	3.100250621902259e+01
2.847624576884082e-01	3.116702406448368e+01
2.945518528899580e-01	3.133123076508337e+01
3.001431260491746e-01	3.146284504145224e+01
3.169239462862055e-01	3.175851044599011e+01
3.225198866183429e-01	3.182400643931315e+01
3.323116154063531e-01	3.195515399838993e+01
3.393007068553737e-01	3.211967184385102e+01
3.448943136010507e-01	3.221822697869698e+01
3.490947692298444e-01	3.221776026140489e+01
3.546860423890609e-01	3.234937453777376e+01
3.644777711770711e-01	3.248052209685054e+01
3.700713779227481e-01	3.257907723169649e+01
3.868591989191603e-01	3.277556521166562e+01
3.924528056648373e-01	3.287412034651158e+01
3.966532612936310e-01	3.287365362921949e+01
4.022445344528475e-01	3.300526790558836e+01
4.120385968273181e-01	3.310335632314223e+01
4.176368707459159e-01	3.313579317494236e+01
4.218373263747097e-01	3.313532645765027e+01
4.302289032864552e-01	3.326662958915774e+01
4.400206320744655e-01	3.339777714823452e+01
4.456142388201425e-01	3.349633228308048e+01
4.554129683675341e-01	3.352830241758852e+01
4.652046971555442e-01	3.365944997666531e+01
4.708053046606026e-01	3.365882768694252e+01
4.777967296960837e-01	3.379028639088069e+01
4.875907920705543e-01	3.388837480843456e+01
4.931890659891521e-01	3.392081166023469e+01
5.029901291230041e-01	3.391972265321982e+01
5.127818579110144e-01	3.405087021229660e+01
5.183824654160726e-01	3.405024792257382e+01
5.351749535854057e-01	3.418061761949712e+01
5.407685603310826e-01	3.427917275434307e+01
5.449666823734159e-01	3.431176517857390e+01
5.505672898784741e-01	3.431114288885112e+01
5.603660194258657e-01	3.434311302335915e+01
5.659596261715427e-01	3.444166815820511e+01
5.757606893053947e-01	3.444057915119024e+01
5.855617524392467e-01	3.443949014417537e+01
5.911623599443050e-01	3.443886785445258e+01
6.009540887323152e-01	3.457001541352936e+01
6.079548481136380e-01	3.456923755137588e+01
6.135484548593150e-01	3.466779268622184e+01
6.177465769016482e-01	3.470038511045266e+01
6.247473362829711e-01	3.469960724829919e+01
6.303479437880294e-01	3.469898495857640e+01
6.401490069218814e-01	3.469789595156153e+01
6.471497663032042e-01	3.469711808940805e+01
6.527503738082625e-01	3.469649579968527e+01
6.569508294370562e-01	3.469602908239317e+01
6.723431657301246e-01	3.482655435174718e+01
6.779437732351830e-01	3.482593206202439e+01
6.877448363690349e-01	3.482484305500952e+01
6.975458995028869e-01	3.482375404799465e+01
7.031465070079451e-01	3.482313175827186e+01
7.129475701417971e-01	3.482204275125699e+01
7.227486332756492e-01	3.482095374424212e+01
7.283492407807075e-01	3.482033145451933e+01
7.381503039145594e-01	3.481924244750446e+01
7.451510632958822e-01	3.481846458535098e+01
7.507516708009405e-01	3.481784229562820e+01
7.549521264297343e-01	3.481737557833610e+01
7.703444627228027e-01	3.494790084769010e+01
7.759474038143215e-01	3.491421941644440e+01
7.857461333617128e-01	3.494618955095245e+01
7.955471964955649e-01	3.494510054393757e+01
8.011478040006232e-01	3.494447825421479e+01
8.109582014803169e-01	3.481115268110827e+01
8.207569310277085e-01	3.484312281561630e+01
8.263505377733855e-01	3.494167795046226e+01
8.319511452784438e-01	3.494105566073948e+01
8.375517527835019e-01	3.494043337101670e+01
8.473528159173540e-01	3.493934436400182e+01
8.571538790512059e-01	3.493825535698694e+01
8.627568201427247e-01	3.490457392574125e+01
8.725648840359581e-01	3.480430749415764e+01
8.795656434172809e-01	3.480352963200416e+01
8.851662509223392e-01	3.480290734228137e+01
8.949673140561911e-01	3.480181833526650e+01
9.047683771900432e-01	3.480072932825163e+01
9.103689846951015e-01	3.480010703852884e+01
9.201793821747952e-01	3.466678146542232e+01
9.299804453086473e-01	3.466569245840745e+01
9.355810528137054e-01	3.466507016868466e+01
9.453821159475575e-01	3.466398116166979e+01
9.551831790814096e-01	3.466289215465491e+01
9.607837865864677e-01	3.466226986493213e+01
9.705848497203198e-01	3.466118085791726e+01
9.775856091016426e-01	3.466040299576377e+01
9.831862166067009e-01	3.465978070604099e+01
1.002797677220247e+00	3.452536612591960e+01
1.008395951138845e+00	3.455780297771972e+01
1.018199347859157e+00	3.452365482918194e+01
1.028000410993009e+00	3.452256582216707e+01
1.033601018498067e+00	3.452194353244428e+01
1.039201626003125e+00	3.452132124272150e+01
1.044802233508184e+00	3.452069895299871e+01
1.054607963814957e+00	3.445349166293801e+01
1.064413694121729e+00	3.438628437287731e+01
1.070014301626788e+00	3.438566208315453e+01
1.079815364760640e+00	3.438457307613966e+01
1.086816124141962e+00	3.438379521398618e+01
1.092416731647021e+00	3.438317292426339e+01
1.096617187275814e+00	3.438270620697131e+01
1.112028192260567e+00	3.424875834414200e+01
1.117635800525006e+00	3.414895862985047e+01
1.124657562184473e+00	3.385064849399077e+01
1.128883687264332e+00	3.348653121994663e+01
1.130309508591661e+00	3.312272509076389e+01
1.138817764826429e+00	3.160107114612570e+01
1.138850435036875e+00	3.113824316480491e+01
1.141674074654008e+00	3.080734060471438e+01
1.141702077691534e+00	3.041063090643942e+01
1.144525717308667e+00	3.007972834634889e+01
1.144544386000351e+00	2.981525521416559e+01
1.144558387519113e+00	2.961690036502810e+01
1.147410030173772e+00	2.888928810666262e+01
1.148831184328181e+00	2.859160026052570e+01
1.150261672828431e+00	2.816167584829713e+01
1.151699162088063e+00	2.763257401149982e+01
1.153117982656011e+00	2.736794530688582e+01
1.153145985693536e+00	2.697123560861085e+01
1.155969625310669e+00	2.664033304852033e+01
1.155988294002353e+00	2.637585991633702e+01
1.156002295521116e+00	2.617750506719954e+01
1.158821267965328e+00	2.591272079015484e+01
1.160258757224960e+00	2.538361895335753e+01
1.161677577792908e+00	2.511899024874353e+01
1.163105732706698e+00	2.472212497803787e+01
1.165943373842594e+00	2.419286756880986e+01
1.167362194410542e+00	2.392823886419586e+01
1.170181166854755e+00	2.366345458715116e+01
1.173014140817730e+00	2.320031546096898e+01
1.174430627799218e+00	2.296874589787789e+01
1.178666087224918e+00	2.247239205774210e+01
1.182894545891237e+00	2.207521564217505e+01
1.185713518335450e+00	2.181043136513035e+01
1.189932642655927e+00	2.154549151565495e+01
1.195556586025590e+00	2.121427781070303e+01
1.199778043932527e+00	2.091627881970473e+01
1.206799805591994e+00	2.061796868384502e+01
