time	force
1.160091528016211e-01	1.928663653250204e+00
2.406460056537721e-01	1.150189096234781e+01
2.777262277928868e-01	1.183497153646808e+01
3.046072769479982e-01	1.185843185901705e+01
3.621908564458390e-01	1.198426921245940e+01
3.946271668408634e-01	1.197793914854841e+01
4.232729481425276e-01	1.195875083694090e+01
4.544847202722926e-01	1.195626154462573e+01
4.877407780366935e-01	1.192824428014449e+01
5.185411492953826e-01	1.196689695769834e+01
5.493444905732031e-01	1.196347436422303e+01
5.801478318510237e-01	1.196005177074772e+01
6.109511731288442e-01	1.195662917727240e+01
6.417557872720068e-01	1.193517432478459e+01
6.725587042613799e-01	1.193776248431345e+01
7.033684493001270e-01	1.184361994437836e+01
7.310260642162709e-01	1.177516312335772e+01
7.657866349960671e-01	1.167495417918069e+01
8.196018057297902e-01	1.153673918682373e+01
8.649968120110558e-01	1.141874989175159e+01
8.972055806034329e-01	1.139588101622898e+01
9.344329282751684e-01	1.125950911532334e+01
9.938487065139499e-01	1.112067183324358e+01
1.030359666904515e+00	1.101743841316026e+01
1.045063595191753e+00	1.098274576111505e+01
1.098303592424560e+00	1.049196659974587e+01
1.120860039151182e+00	8.307574100342435e+00
1.137900665347475e+00	4.922655081995948e+00
1.147820741390810e+00	3.235549857312485e+00
1.181587737473390e+00	9.176762123718447e-01
1.218038357985478e+00	2.524484987154807e-01
