time	force
1.476650421539044e-02	1.216743134723615e-01
4.668996699422268e-02	1.181272620524894e-01
7.693324752153735e-02	1.147668975494511e-01
9.933567754177047e-02	1.122777386583138e-01
1.104342147476277e-01	1.565635386220940e+00
1.200415902052631e-01	4.308455125607885e+00
1.268906664666572e-01	6.456521462443781e+00
1.379285304245429e-01	8.769416789602154e+00
2.074460710810788e-01	1.570405788787917e+01
2.423565245292754e-01	1.702253423802831e+01
2.735830228185893e-01	1.763616376217047e+01
3.155595760690010e-01	1.802820628752455e+01
3.899885383626115e-01	1.819625044141475e+01
4.186916518260352e-01	1.819306120658548e+01
4.716173927488359e-01	1.818718056870517e+01
5.493724936107284e-01	1.817854111305385e+01
5.797091175964607e-01	1.817517037705544e+01
6.845298209655361e-01	1.803128810329454e+01
7.141330320637012e-01	1.802799885761696e+01
8.485700146151200e-01	1.769569614565017e+01
8.653774377377998e-01	1.761448733682683e+01
9.129919358766372e-01	1.747696130809151e+01
9.564059783866805e-01	1.733990199664828e+01
1.037633455901709e+00	1.706640566348459e+01
1.068446131525371e+00	1.693074650391763e+01
1.104882750518696e+00	1.646387363939875e+01
1.123201404233158e+00	1.480889412165402e+01
1.133182153524464e+00	1.226225121737481e+01
1.137492287716898e+00	1.070800484850579e+01
1.146065884372558e+00	8.260694941226028e+00
1.157456119885970e+00	5.581659898424469e+00
1.175371063142776e+00	3.034135417037987e+00
1.199757041654384e+00	1.378481752093585e+00
1.246495667008402e+00	4.256006140801958e-01
1.307642399835768e+00	2.259052980870635e-01
1.361947004977488e+00	1.776873028532009e-01
1.391513026856506e+00	7.155233346722412e-02
1.422945917903877e+00	-3.479006582635691e-02
1.454682693765874e+00	-3.831637425546575e-02
1.484085883167430e+00	-4.158339530008703e-02
