time	vel
3.639380375526566e-04	3.506873901154561e-04
1.137785793151800e-03	5.533822969912144e-04
1.912956427381450e-03	1.036196753877797e-03
2.567171803913977e-03	1.497140468573840e-03
3.195719820517588e-03	2.077527246268446e-03
3.713829162509560e-03	2.680802185573594e-03
4.211439926270294e-03	3.307758313513848e-03
4.700318655548215e-03	3.956101195047676e-03
5.082917936963693e-03	4.544511655651007e-03
5.394573645012168e-03	5.073780898418645e-03
5.821539842219642e-03	5.704910501333885e-03
6.142460360528144e-03	6.325608261334215e-03
6.578006370567796e-03	6.903118176134093e-03
6.972943026921582e-03	7.610107706152600e-03
7.347504936148812e-03	8.366999661222757e-03
7.732236097314250e-03	9.095103149657349e-03
7.951679916166028e-03	9.737652935975089e-03
8.310288754785136e-03	1.038967353659788e-02
8.576151116267812e-03	1.104177568453353e-02
8.826193299059579e-03	1.161714634149325e-02
9.014172540292777e-03	1.214345451072354e-02
9.284803305386995e-03	1.271420234112650e-02
9.535062947679675e-03	1.333562004740306e-02
9.785467562972952e-03	1.398773578655750e-02
1.008605527277292e-02	1.466721647397778e-02
1.035405857481810e-02	1.530506402218886e-02
1.057813764648384e-02	1.599393106419732e-02
1.082894093752878e-02	1.673046639376601e-02
1.107968986369849e-02	1.745548996100547e-02
1.133049315474344e-02	1.819202529057416e-02
1.158135081066360e-02	1.894007238247206e-02
1.183218128414616e-02	1.968236359320534e-02
1.208312048737916e-02	2.044767832859705e-02
1.228975878931152e-02	2.118425249021948e-02
1.259176631405393e-02	2.195655731888363e-02
1.275334275025489e-02	2.271107836133973e-02
1.302455703167654e-02	2.340538577407623e-02
1.327584960659851e-02	2.424552696460783e-02
1.352722372883333e-02	2.510293579863324e-02
1.377848912131770e-02	2.593732110800022e-02
1.402983606111491e-02	2.678897406086103e-02
1.428115581847450e-02	2.763487113255723e-02
1.453247557583409e-02	2.848076820425342e-02
1.478387688050652e-02	2.934393291944344e-02
1.503533255005418e-02	3.021860939696268e-02
1.528684258447707e-02	3.110479763681112e-02
1.553829825402472e-02	3.197947411433034e-02
1.578991701819806e-02	3.288868587883721e-02
1.608294973621061e-02	3.383879211059780e-02
1.635525735567848e-02	3.476461385462178e-02
1.656267229868551e-02	3.566564176380436e-02
1.667193637819789e-02	3.635756993660863e-02
1.695028292854647e-02	3.710738358492431e-02
1.717471724159266e-02	3.807929466205698e-02
1.742639037064123e-02	3.900001818889307e-02
1.769823890894052e-02	3.982862949547036e-02
1.778401460096455e-02	4.053461176516175e-02
1.805579065276355e-02	4.134787405530010e-02
1.830746378181211e-02	4.226859758213619e-02
1.855910972842306e-02	4.318356522780765e-02
1.881059258040833e-02	4.406399758649150e-02
1.906207543239360e-02	4.494442994517533e-02
1.931355828437888e-02	4.582486230385917e-02
1.956490522417608e-02	4.667651525671998e-02
1.981630652884851e-02	4.753967997191000e-02
2.006765346864572e-02	4.839133292477080e-02
2.031891886113008e-02	4.922571823413778e-02
2.057015707117684e-02	5.005434766234017e-02
2.082139528122359e-02	5.088297709054254e-02
2.113476348284170e-02	5.177486684668037e-02
2.138616478751413e-02	5.263803156187039e-02
2.161041472021630e-02	5.336307842834209e-02
2.189456295197952e-02	5.409446807932386e-02
2.207638486771485e-02	5.477171428407886e-02
2.232699555177328e-02	5.546746508425261e-02
2.259825384285581e-02	5.617109154268418e-02
2.284862221489894e-02	5.681553277361917e-02
2.309884561394147e-02	5.742927597167626e-02
2.339922621945487e-02	5.806490232641380e-02
2.364065804153220e-02	5.868742415741819e-02
2.389077271082427e-02	5.927814383081684e-02
2.416737601836956e-02	5.986664748834911e-02
2.441743373398282e-02	6.044530722026002e-02
2.478560647596915e-02	6.109622304895413e-02
2.513948859071438e-02	6.183842365156204e-02
2.551381793908648e-02	6.254607084555724e-02
2.588744960489317e-02	6.310598375632756e-02
2.626104502744971e-02	6.365822215887840e-02
2.664317314661322e-02	6.414686401262853e-02
2.713148104470127e-02	6.467433338970563e-02
2.764930648123372e-02	6.521749134795822e-02
2.827763923489705e-02	6.575229619804626e-02
2.899438410246282e-02	6.636109425173331e-02
2.969489623018499e-02	6.693332792595227e-02
3.045673970357340e-02	6.739970865769897e-02
3.122698643338968e-02	6.777508388271827e-02
3.196982808848464e-02	6.795861970148295e-02
3.271208985157718e-02	6.801936338873604e-02
3.345362674966670e-02	6.792661691159962e-02
3.419443878275320e-02	6.768038027007370e-02
