time	vel
4.551714992474011e-04	4.380661227559313e-04
1.177170509233241e-03	6.941831842308538e-04
1.694563563559313e-03	1.261461474469108e-03
2.182637416117020e-03	1.852645884209761e-03
2.564775012969808e-03	2.441300194535090e-03
2.937994509717490e-03	3.009129693687163e-03
3.319921423936920e-03	3.549570600135526e-03
3.700333458198899e-03	4.248347361259591e-03
4.067174418515701e-03	4.871508658873328e-03
4.308063674428597e-03	5.456789503311590e-03
4.557636406604906e-03	6.009202959151083e-03
4.807276174164557e-03	6.576957043496881e-03
4.995032227593520e-03	7.123196540530702e-03
5.265362466221182e-03	7.712440073919719e-03
5.515437963772549e-03	8.379908243556500e-03
5.765513461323913e-03	9.047376413193267e-03
6.083220478303245e-03	9.705024048803218e-03
6.306882837758074e-03	1.038809062642543e-02
6.557285132803223e-03	1.113034436003044e-02
6.807762842654629e-03	1.188985630070505e-02
6.975502130618146e-03	1.256877966518403e-02
7.246400494119624e-03	1.328803502516397e-02
7.497179863196059e-03	1.411657979411694e-02
7.748084923616262e-03	1.497388824151924e-02
7.999140813648976e-03	1.586571310306072e-02
8.250096150606685e-03	1.673452702184273e-02
8.501126902370648e-03	1.762059914769436e-02
8.752333622015891e-03	1.854694042337504e-02
9.003691171273635e-03	1.950779811319488e-02
9.317026619375668e-03	2.051172397337805e-02
9.552673253428387e-03	2.141228356631734e-02
9.721245096911788e-03	2.211339650306918e-02
9.375988931500386e-03	1.986469397038525e-02
9.930023805674419e-03	2.292547929717043e-02
1.005153800711327e-02	2.363122048098312e-02
1.028091633005829e-02	2.427566513872606e-02
1.042810927302797e-02	2.496608140545041e-02
1.055443745293295e-02	2.559512258901515e-02
1.068076563283794e-02	2.622416377257991e-02
1.080709381274293e-02	2.685320495614468e-02
1.103660620645463e-02	2.752833087090022e-02
1.114238468959661e-02	2.816809792528502e-02
1.126845813504490e-02	2.873884472052581e-02
1.139457180172319e-02	2.931879589287038e-02
1.152056480471148e-02	2.987113393390363e-02
1.164659802892977e-02	3.043267635204062e-02
1.177267147437806e-02	3.100342314728143e-02
1.189874491982635e-02	3.157416994252223e-02
1.202485858650464e-02	3.215412111486680e-02
1.215101247441294e-02	3.274327666431516e-02
1.227716636232124e-02	3.333243221376353e-02
1.240332025022954e-02	3.392158776321189e-02
1.252955458059785e-02	3.452915206686781e-02
1.265570846850615e-02	3.511830761631618e-02
1.278194279887446e-02	3.572587191997210e-02
1.294924300507710e-02	3.630431416773480e-02
1.307557118498208e-02	3.693335535129956e-02
1.316060556874939e-02	3.753936045383610e-02
1.332795940325868e-02	3.813007520440384e-02
1.344861830502975e-02	3.880842195984334e-02
1.358098445767703e-02	3.947253102831803e-02
1.381894889597157e-02	4.051072267410094e-02
1.372717186989661e-02	3.993283786744781e-02
1.395983492662531e-02	4.132897332199968e-02
1.408612958883862e-02	4.195034419131129e-02
1.421245776874361e-02	4.257938537487604e-02
1.433878594864859e-02	4.320842655844080e-02
1.446508061086191e-02	4.382979742775239e-02
1.459140879076689e-02	4.445883861131715e-02
1.471770345298020e-02	4.508020948062876e-02
1.484403163288519e-02	4.570925066419351e-02
1.497035981279017e-02	4.633829184775827e-02
1.509665447500349e-02	4.695966271706986e-02
1.522298265490847e-02	4.758870390063462e-02
1.534937787019679e-02	4.823308571270568e-02
1.547567253241011e-02	4.885445658201729e-02
1.560200071231509e-02	4.948349776558204e-02
1.572829537452841e-02	5.010486863489363e-02
1.585462355443339e-02	5.073390981845839e-02
1.598095173433838e-02	5.136295100202315e-02
1.610724639655170e-02	5.198432187133475e-02
1.623357457645668e-02	5.261336305489950e-02
1.635986923867000e-02	5.323473392421110e-02
1.648619741857498e-02	5.386377510777587e-02
1.661252559847997e-02	5.449281629134062e-02
1.673892081376829e-02	5.513719810341168e-02
1.686521547598160e-02	5.575856897272327e-02
1.699154365588659e-02	5.638761015628803e-02
1.711773776502489e-02	5.698597008284018e-02
1.724399890954654e-02	5.759967063789863e-02
1.732911373577385e-02	5.822408449464274e-02
1.745530784491216e-02	5.882244442119489e-02
1.758142151159045e-02	5.940239559353945e-02
1.770757539949875e-02	5.999155114298782e-02
1.783368906617704e-02	6.057150231533241e-02
1.795976251162534e-02	6.114224911057320e-02
1.808587617830363e-02	6.172220028291778e-02
1.821186918129192e-02	6.227453832395102e-02
1.833786218428020e-02	6.282687636498424e-02
1.846385518726848e-02	6.337921440601747e-02
1.858988841148677e-02	6.394075682415448e-02
1.871596185693505e-02	6.451150361939528e-02
1.884207552361335e-02	6.509145479173986e-02
1.896810874783164e-02	6.565299720987687e-02
1.914765057268057e-02	6.633948849505363e-02
1.926226671346765e-02	6.698167160640414e-02
1.938852785798929e-02	6.759537216146258e-02
1.962588897783377e-02	6.849549815068873e-02
1.990453272125203e-02	6.941610344952537e-02
2.006479516985227e-02	7.017957810907721e-02
1.971907933324082e-02	6.782568269520718e-02
2.028926554508843e-02	7.104755404815935e-02
2.049622532054775e-02	7.194839198906838e-02
2.060517314084923e-02	7.264009982412943e-02
2.085563074008563e-02	7.339500957625214e-02
2.110681232146212e-02	7.431559811624294e-02
2.135781793495733e-02	7.519591750640470e-02
2.160854702749627e-02	7.601295680397795e-02
2.190061181328747e-02	7.686262007539585e-02
2.216534571466260e-02	7.774230865212609e-02
2.239198117317261e-02	7.854463185005733e-02
2.263215219283542e-02	7.930221992760147e-02
2.288236176115347e-02	8.000036935425085e-02
2.313240374101317e-02	8.066016720963448e-02
2.338231165010618e-02	8.128928380800549e-02
2.368220640808363e-02	8.191076061716399e-02
2.392318664058820e-02	8.251686088600366e-02
2.417282640814786e-02	8.308461497034945e-02
2.436077686418850e-02	8.367534229005158e-02
2.476963045542327e-02	8.431770496046462e-02
2.510798676459228e-02	8.498741851617819e-02
2.553450896757891e-02	8.563307923767202e-02
2.592551678212013e-02	8.623160076738044e-02
2.641357626995284e-02	8.681949789958401e-02
2.691023304569894e-02	8.735480397796644e-02
2.745632674077401e-02	8.789129076940932e-02
2.808866480828569e-02	8.836800190004201e-02
2.889392735066224e-02	8.882487579434525e-02
2.963641125654052e-02	8.905543771077737e-02
3.037832536166041e-02	8.915560428490590e-02
3.111963614833022e-02	8.911770520247768e-02
3.186041065193332e-02	8.895708109199903e-02
3.260064887246970e-02	8.867373195346995e-02
3.334035080993934e-02	8.826765778689041e-02
3.398386763703560e-02	8.770323795110008e-02
3.458078072563261e-02	8.730853228090180e-02
3.497147251622381e-02	8.682472037491738e-02
3.553580989087497e-02	8.635142412098057e-02
3.604809429036231e-02	8.574961868046752e-02
3.653984910370166e-02	8.516314129932639e-02
3.703147822569724e-02	8.454790023973593e-02
3.752295651808030e-02	8.389814276600631e-02
3.800563282521869e-02	8.325413264119466e-02
3.838278586249595e-02	8.270210164615835e-02
3.875121232933479e-02	8.217307620710959e-02
3.911960527848195e-02	8.163638045380771e-02
3.948796470993746e-02	8.109201438625266e-02
3.985629062370129e-02	8.053997800444446e-02
4.022485116130681e-02	8.004163382240834e-02
4.059326086929981e-02	7.950877322623301e-02
4.096167057729282e-02	7.897591263005770e-02
4.133006352644000e-02	7.843921687675581e-02
4.169855702866219e-02	7.792553206621336e-02
4.206701701319270e-02	7.740417694141777e-02
4.243537644464820e-02	7.685981087386273e-02
4.281261567027547e-02	7.632750354404880e-02
4.329543203348262e-02	7.571554437522354e-02
4.377814066125226e-02	7.507893062487028e-02
4.416397717479293e-02	7.449403224123519e-02
4.464676480855007e-02	7.387549851733580e-02
4.512953089521973e-02	7.325203387713082e-02
4.550673660315532e-02	7.271205623306373e-02
4.588400934647426e-02	7.218741921750295e-02
4.636692626275644e-02	7.159847099143715e-02
4.684982163195108e-02	7.100459184906577e-02
4.723574433384178e-02	7.043941713065303e-02
4.771866125012394e-02	6.985046890458724e-02
4.821006412770074e-02	6.918345322378802e-02
4.870159269662131e-02	6.854520122143812e-02
4.919322181861688e-02	6.792996016184766e-02
4.968487607888122e-02	6.732047183794708e-02
5.017670630702683e-02	6.675125266387555e-02
5.066851139690368e-02	6.617628075411414e-02
5.116041703985554e-02	6.562431978711220e-02
5.167288020036512e-02	6.506342268928264e-02
5.226779799963979e-02	6.451817217363864e-02
5.291137515858105e-02	6.396755890350399e-02
5.362281101725263e-02	6.352032682074704e-02
5.433108173935856e-02	6.299150877241549e-02
5.474356553601330e-02	6.264659727062460e-02
5.544462444793221e-02	6.228542552858871e-02
5.621091309725882e-02	6.190347422426329e-02
5.695071558780348e-02	6.152041100044322e-02
5.769061863142314e-02	6.116035871938261e-02
5.843058871042616e-02	6.081564706682830e-02
5.917082693096255e-02	6.053229792829921e-02
5.991119922226560e-02	6.027963004678272e-02
6.065160503126032e-02	6.003463247951940e-02
6.139211139333006e-02	5.981264585501553e-02
6.213255072001644e-02	5.957531860200534e-02
6.287288949362785e-02	5.931498040623571e-02
6.361316123185587e-02	5.903930158195977e-02
6.435319834624223e-02	5.870993055791177e-02
6.509326897832024e-02	5.838822984811691e-02
6.583330609270660e-02	5.805885882406892e-02
6.657334320709293e-02	5.772948780002091e-02
6.731331328609597e-02	5.738477614746659e-02
6.805321632971564e-02	5.702472386640599e-02
6.879315289102697e-02	5.667234189959852e-02
6.953302241695497e-02	5.630461930428474e-02
7.027282490749964e-02	5.592155608046467e-02
7.101279498650265e-02	5.557684442791037e-02
7.175269803012232e-02	5.521679214684976e-02
7.249250052066700e-02	5.483372892302968e-02
7.323216894044496e-02	5.441998444219699e-02
7.397183736022295e-02	5.400623996136432e-02
7.440280783971837e-02	5.364983430041463e-02
7.501909763645834e-02	5.328203629029461e-02
7.578930905277081e-02	5.278777236350539e-02
7.625127501763826e-02	5.245439649901673e-02
7.688536989101760e-02	5.212112567657963e-02
7.766914041067108e-02	5.169973781535318e-02
7.840877531275736e-02	5.127832302026736e-02
7.914844373253535e-02	5.086457853943467e-02
7.988807863462166e-02	5.044316374434883e-02
8.062781408978298e-02	5.004475989202245e-02
8.136751602725265e-02	4.963868572544293e-02
8.210738555318065e-02	4.927096313012916e-02
8.284732211449197e-02	4.891858116332169e-02
8.358742626426166e-02	4.860455076778000e-02
8.432756393172305e-02	4.829819068649144e-02
8.506776863456775e-02	4.800717123370921e-02
8.580800685510412e-02	4.772382209518011e-02
8.654817804025713e-02	4.742513232814471e-02
8.728838274310186e-02	4.713411287536247e-02
8.802835282210486e-02	4.678940122280817e-02
8.876822234803286e-02	4.642167862749440e-02
8.950809187396086e-02	4.605395603218063e-02
9.024796139988886e-02	4.568623343686685e-02
9.098783092581686e-02	4.531851084155310e-02
9.172770045174486e-02	4.495078824623933e-02
9.246756997767289e-02	4.458306565092555e-02
9.320754005667589e-02	4.423835399837125e-02
9.394761068875390e-02	4.391665328857640e-02
9.468781539159860e-02	4.362563383579415e-02
9.542805361213497e-02	4.334228469726506e-02
9.616832535036302e-02	4.306660587298913e-02
9.690853005320774e-02	4.277558642020687e-02
9.764880179143579e-02	4.249990759593095e-02
9.838914056504716e-02	4.223956940016131e-02
9.912944582096686e-02	4.197156089013852e-02
9.986985162996159e-02	4.172656332287518e-02
1.006101904035730e-01	4.146622512710556e-02
1.013505962125677e-01	4.122122755984223e-02
1.020909685038708e-01	4.096855967832574e-02
1.028311732067154e-01	4.067754022554350e-02
1.035711097680268e-01	4.032515825873605e-02
1.043110128116465e-01	3.996510597767541e-02
1.050508823375745e-01	3.959738338236166e-02
1.057907183458108e-01	3.922199047279473e-02
1.065306884248138e-01	3.887727882024042e-02
1.072705914684335e-01	3.851722653917981e-02
1.080105280297448e-01	3.816484457237235e-02
1.087504645910562e-01	3.781246260556489e-02
1.094903005992925e-01	3.743706969599796e-02
1.102300695721455e-01	3.704633615792474e-02
1.109699390980735e-01	3.667861356261098e-02
1.117098086240015e-01	3.631089096729720e-02
1.124496781499295e-01	3.594316837198344e-02
1.131896147112408e-01	3.559078640517598e-02
1.139296518256272e-01	3.526141538112797e-02
1.146696889400135e-01	3.493204435707996e-02
1.154096925367082e-01	3.459500301877881e-02
1.161495620626362e-01	3.422728042346505e-02
1.168893310354892e-01	3.383654688539181e-02
1.176290329729589e-01	3.343047271881229e-02
1.183687684281202e-01	3.303206886648592e-02
1.191083027771315e-01	3.258764312864061e-02
1.198480047146011e-01	3.218156896206109e-02
1.205877401697625e-01	3.178316510973471e-02
1.213275091426154e-01	3.139243157166148e-02
1.217584796221109e-01	3.103602591071181e-02
1.224368441838241e-01	3.073346327914671e-02
1.231764790859104e-01	3.031204848406087e-02
1.239162145410717e-01	2.991364463173449e-02
1.246560170316164e-01	2.953058140791442e-02
1.253957860044694e-01	2.913984786984120e-02
1.261356555303974e-01	2.877212527452742e-02
1.268755250563254e-01	2.840440267921367e-02
1.276152940291783e-01	2.801366914114044e-02
1.283550294843397e-01	2.761526528881407e-02
1.290947314218093e-01	2.720919112223454e-02
1.298343998415873e-01	2.679544664140185e-02
1.305741017790569e-01	2.638937247482231e-02
1.313139377872933e-01	2.601397956525540e-02
1.320539078662963e-01	2.566926791270109e-02
1.327939784983743e-01	2.534756720290623e-02
1.335341832012190e-01	2.505654775012399e-02
1.342743208686804e-01	2.475018766883545e-02
1.350144920538334e-01	2.445149790180004e-02
1.357546632389864e-01	2.415280813476466e-02
1.364948344241395e-01	2.385411836772926e-02
1.372350056092925e-01	2.355542860069387e-02
1.379751432767539e-01	2.324906851940532e-02
1.387153479795986e-01	2.295804906662308e-02
1.394554521293682e-01	2.264401867108137e-02
1.401955897968296e-01	2.233765858979282e-02
1.409357609819827e-01	2.203896882275742e-02
1.416760662379024e-01	2.177096031273464e-02
1.424164720468971e-01	2.152596274547131e-02
1.431570119266585e-01	2.131164643522059e-02
1.438977193948782e-01	2.113568169623564e-02
1.446385944515564e-01	2.099806852851645e-02
1.453797376497678e-01	2.092181787482245e-02
1.461209814010543e-01	2.086857816388794e-02
1.468624932938741e-01	2.087670096697863e-02
1.476041727751523e-01	2.092317534133509e-02
1.483458187387388e-01	2.096197940143842e-02
1.490871965607920e-01	2.093942094751651e-02
1.498284738297702e-01	2.089385155083513e-02
1.505696170279816e-01	2.081760089714116e-02
1.513107602261931e-01	2.074135024344718e-02
1.520518363890212e-01	2.064975896124691e-02
1.527928790341577e-01	2.055049736479346e-02
1.535339216792941e-01	2.045123576834004e-02
1.542748972890473e-01	2.033663354338031e-02
1.550158393811087e-01	2.021436100416739e-02
1.557568149908618e-01	2.009975877920767e-02
1.564976900475399e-01	1.996214561148847e-02
1.572385315865264e-01	1.981686212951612e-02
1.579793060901295e-01	1.965623801903747e-02
1.587200470760409e-01	1.948794359430568e-02
1.594609221327190e-01	1.935033042658649e-02
1.598932835964188e-01	1.931224280714261e-02
