time	vel
3.517947990635435e-04	1.498425430058181e-04
1.094406507745883e-03	1.541131776201243e-04
1.834750622827716e-03	2.274320373699124e-04
2.577614286354557e-03	2.240306469691450e-04
3.320477949881405e-03	2.206292565683915e-04
4.063089658563744e-03	2.248998911826700e-04
4.803181818801072e-03	3.058907759475316e-04
5.546045482327920e-03	3.024893855467642e-04
6.288909145854768e-03	2.990879951460107e-04
7.031016944848104e-03	3.187026797904086e-04
7.772620834152442e-03	3.536614144649397e-04
8.513972768612280e-03	3.962921741545028e-04
9.255828612761120e-03	4.235788838139604e-04
9.997180547220957e-03	4.662096435035373e-04
1.073853248168079e-02	5.088404031931143e-04
1.147938050645163e-02	5.668152129127968e-04
1.222073244091147e-02	6.094459726023738e-04
1.296208437537130e-02	6.520767322919646e-04
1.370318435498664e-02	7.023795169965735e-04
1.444403237975747e-02	7.603543267162699e-04
1.518437649483930e-02	8.336731864660579e-04
1.592572842929914e-02	8.763039461556488e-04
1.666607254438097e-02	9.496228059054368e-04
1.740692056915181e-02	1.007597615625133e-03
1.814776859392264e-02	1.065572425344816e-03
1.888811270900448e-02	1.138891285094618e-03
1.962820486924181e-02	1.219882169859479e-03
2.036880093916814e-02	1.285529004594221e-03
2.110914505424998e-02	1.358847864344009e-03
2.184923721448731e-02	1.439838749108885e-03
2.258907741988014e-02	1.528501658888792e-03
2.332866567042847e-02	1.624836593683759e-03
2.406875783066580e-02	1.705827478448621e-03
2.480910194574763e-02	1.779146338198423e-03
2.554869019629596e-02	1.875481272993376e-03
2.628827844684430e-02	1.971816207788357e-03
2.702761474254812e-02	2.075823167598370e-03
2.776695103825196e-02	2.179830127408411e-03
2.850653928880028e-02	2.276165062203364e-03
2.924587558450411e-02	2.380172022013405e-03
2.998546383505244e-02	2.476506956808358e-03
3.072480013075627e-02	2.580513916618399e-03
3.146388447161559e-02	2.692192901443485e-03
3.220246490278592e-02	2.819215936298677e-03
3.294129728880075e-02	2.938566946138810e-03
3.368088553934907e-02	3.034901880933777e-03
3.441996988020840e-02	3.146580865758863e-03
3.515804640168974e-02	3.288947950644175e-03
3.589662683286006e-02	3.415970985499353e-03
3.663495530918588e-02	3.550666045369619e-03
3.737403965004521e-02	3.662345030194705e-03
3.811186421668203e-02	3.812384140095063e-03
3.885069660269685e-02	3.931735149935195e-03
3.958852116933367e-02	4.081774259835580e-03
4.032659769081499e-02	4.224141344720878e-03
4.106417030260733e-02	4.381852479636295e-03
4.180199486924414e-02	4.531891589536666e-03
4.254032334556998e-02	4.666586649406931e-03
4.327789595736230e-02	4.824297784322348e-03
4.401546856915461e-02	4.982008919237765e-03
4.475278922610243e-02	5.147392079168228e-03
4.549010988305026e-02	5.312775239098733e-03
4.622768249484258e-02	5.470486374014150e-03
