time	vel
3.485581598174567e-04	3.519792262443172e-04
1.082470021685385e-03	4.487546279043769e-04
1.812936628482038e-03	5.838811583841752e-04
2.539957980207418e-03	7.573588176837398e-04
3.265601229904283e-03	9.461769285112054e-04
3.986421122501353e-03	1.188686619686338e-03
4.705862913069916e-03	1.446536762389330e-03
5.421170397552945e-03	1.750408259676053e-03
6.135099780007466e-03	2.069620208490677e-03
6.845583907390707e-03	2.427183286125068e-03
7.551244677674158e-03	2.838437944107083e-03
8.255527345929096e-03	3.265033053617028e-03
9.012090853244607e-03	3.660751424519729e-03
9.662025529396212e-03	4.141233949928741e-03
1.035528338142306e-02	4.690552671661866e-03
1.102322108134712e-02	5.208604467287631e-03
1.161798749796789e-02	5.789679704006706e-03
1.218619347066020e-02	6.353294420993513e-03
1.273234014000491e-02	6.932842536038888e-03
1.321694850946944e-02	7.508544658449454e-03
1.374190867341794e-02	8.094310552252432e-03
1.420364236250133e-02	8.695022506542249e-03
1.464669309820697e-02	9.274083752647308e-03
1.508871025739123e-02	9.864650337398292e-03
1.552659311048996e-02	1.050123827673297e-02
1.595792091249253e-02	1.111238507970014e-02
1.629506891101658e-02	1.168940054370556e-02
1.672676584749108e-02	1.229643829715631e-02
1.715447613166882e-02	1.294785378538423e-02
1.748985228472764e-02	1.354459268706835e-02
1.791189344054185e-02	1.416070532008940e-02
1.823842590877860e-02	1.475747919240769e-02
1.850247751060992e-02	1.526249012063206e-02
1.882498965112440e-02	1.580560738323691e-02
1.919327964699197e-02	1.642960006582699e-02
1.951951680765119e-02	1.702966117775842e-02
1.978067439522264e-02	1.756688705419136e-02
2.010263529492571e-02	1.811614049740737e-02
2.047230339282181e-02	1.872479272846957e-02
2.073870191276935e-02	1.930208795754840e-02
2.105983595125531e-02	1.986054567168113e-02
2.142891343399633e-02	2.047577238196956e-02
2.169259512423052e-02	2.108331021548915e-02
2.206488161598079e-02	2.166281558864831e-02
2.233128013592833e-02	2.224011081772717e-02
2.265241417441430e-02	2.279856853185991e-02
2.302208227231039e-02	2.340722076292209e-02
2.334831943296960e-02	2.400728187485351e-02
2.366876442044132e-02	2.457340981475022e-02
2.393212697125838e-02	2.508609096873853e-02
2.425463911177286e-02	2.562920823134338e-02
2.462992712010289e-02	2.627371119088127e-02
2.505793271185817e-02	2.692183943949607e-02
2.538653233313768e-02	2.749560263452253e-02
2.571808503019258e-02	2.803649343341776e-02
2.614727185225801e-02	2.867147272358006e-02
2.658412112883535e-02	2.931956600156067e-02
2.701544893083794e-02	2.993071280452786e-02
2.735495938998227e-02	3.048143035162829e-02
2.779204568974685e-02	3.102847598213958e-02
2.823664679023457e-02	3.159027922027575e-02
2.868228146724367e-02	3.214057711976598e-02
2.912998329729554e-02	3.266786434196436e-02
2.959774618275367e-02	3.320146182081964e-02
3.014609781534399e-02	3.375646521342038e-02
3.071513064925342e-02	3.431087565949044e-02
3.131613610960326e-02	3.482250048838320e-02
3.196997958423572e-02	3.549744326554430e-02
3.267564035451918e-02	3.590869792352633e-02
3.336889820654603e-02	3.645801664525948e-02
3.407455897682948e-02	3.686927130324151e-02
3.478573215522698e-02	3.721916415511192e-02
3.550241774173852e-02	3.750769520087074e-02
3.622254858332134e-02	3.775787511780981e-02
3.694819183301821e-02	3.794669322863729e-02
3.767659128677208e-02	3.810483043640894e-02
3.841050314864001e-02	3.820160583806899e-02
3.914992741862199e-02	3.823701943361746e-02
3.989210789266099e-02	3.824175212611010e-02
4.063704457075702e-02	3.821580391554694e-02
4.138749365696708e-02	3.812849389887220e-02
4.214000989621990e-02	3.801817320490559e-02
4.289666044155827e-02	3.786183115635527e-02
4.365675624196792e-02	3.766713797898522e-02
4.442098634846309e-02	3.742642344703144e-02
4.518797265901529e-02	3.715502801202188e-02
4.595633707159600e-02	3.686829212548441e-02
4.672883579026226e-02	3.653553488436322e-02
4.750409071298551e-02	3.617209674018626e-02
4.828072373773729e-02	3.579331814448138e-02
4.906011296654610e-02	3.538385864572070e-02
4.984156934839765e-02	3.495138846966817e-02
5.056559876808745e-02	3.446930662058922e-02
5.138562905465060e-02	3.400108479952449e-02
5.216807756634601e-02	3.350836604921516e-02
5.297410405673222e-02	3.304841478313450e-02
5.338775226034271e-02	3.267545296958189e-02
5.416162908103746e-02	3.232735527693283e-02
5.463906890223088e-02	3.183474726696507e-02
5.530317937827125e-02	3.152761184382134e-02
5.610567772023108e-02	3.100852523533866e-02
5.654113982831920e-02	3.063876323481375e-02
5.731639475104246e-02	3.027532509063678e-02
5.787729436526082e-02	2.977216372039806e-02
5.862892813567084e-02	2.944204481934463e-02
5.916138324047614e-02	2.902589427257708e-02
5.993301157891385e-02	2.860441653253580e-02
6.071722416482244e-02	2.814126545342747e-02
6.150713048805936e-02	2.771314329289161e-02
6.224436844580059e-02	2.728084797000997e-02
6.306797609871972e-02	2.687121361807837e-02
6.384529817448575e-02	2.648476479660956e-02
6.462399835228030e-02	2.608297552361283e-02
6.539994232601781e-02	2.571186715367189e-02
6.617106294265557e-02	2.539445036407864e-02
6.694218355929329e-02	2.507703357448536e-02
6.771054797187401e-02	2.479029768794790e-02
6.847684523141195e-02	2.452657247870225e-02
6.924038628689286e-02	2.429352817251244e-02
7.000048208730250e-02	2.409883499514238e-02
7.076195598974067e-02	2.388880136624442e-02
7.151791748406477e-02	2.374012954345807e-02
7.227043372331762e-02	2.362980884949145e-02
7.302088280952768e-02	2.354249883281669e-02
7.376926474269496e-02	2.347819949343380e-02
7.451626857383375e-02	2.342924060557880e-02
7.526051620091551e-02	2.341096262077959e-02
7.600131857292602e-02	2.343103576480014e-02
7.674212094493651e-02	2.345110890882070e-02
7.748085616390421e-02	2.349419273013310e-02
7.821752422982917e-02	2.356028722873735e-02
7.895212514271135e-02	2.364939240463346e-02
7.968534795356505e-02	2.375383803205748e-02
8.041857076441872e-02	2.385828365948148e-02
8.115041547324386e-02	2.397806973843339e-02
8.188432733511181e-02	2.407484514009343e-02
8.261548299292271e-02	2.420230144480931e-02
8.334870580377640e-02	2.430674707223331e-02
8.408261766564432e-02	2.440352247389337e-02
8.481584047649798e-02	2.450796810131736e-02
8.555044138938017e-02	2.459707327721347e-02
8.628642040429088e-02	2.467083800158169e-02
8.702239941920156e-02	2.474460272594989e-02
8.775975653614079e-02	2.480302699879020e-02
8.849849175510852e-02	2.484611082010260e-02
8.923860507610473e-02	2.487385418988711e-02
8.998078555014372e-02	2.487858688237973e-02
9.072020982012571e-02	2.491400047792820e-02
9.146307934517897e-02	2.491106294465691e-02
9.220732697226072e-02	2.489278495985769e-02
9.295295270137099e-02	2.485916652353060e-02
9.369651127743850e-02	2.484855876449535e-02
9.444351510857729e-02	2.479959987664035e-02
9.519120799073033e-02	2.474297076302139e-02
9.593958992389764e-02	2.467867142363848e-02
9.669072806112194e-02	2.458369118119978e-02
9.744048809631778e-02	2.450405139028897e-02
9.819093718252783e-02	2.441674137361423e-02
9.894138626873791e-02	2.432943135693945e-02
9.969321345697649e-02	2.422678088873681e-02
1.004450406452150e-01	2.412413042053414e-02
1.011982459354821e-01	2.400613950080359e-02
1.019500731237207e-01	2.390348903260092e-02
1.027025893629736e-01	2.379316833863432e-02
