time	vel
4.844588424864002e-04	1.780851935398314e-04
1.215038112658075e-03	3.981310477279287e-04
1.939338456246362e-03	7.413136288014072e-04
2.704551488128013e-03	1.148076570625559e-03
3.381660216839538e-03	1.550815517833759e-03
4.095600331565228e-03	2.097173698268145e-03
4.684703176789189e-03	2.667143258875501e-03
5.251835592792190e-03	3.263879650955009e-03
5.738307057482250e-03	3.826076133004952e-03
6.203514472191991e-03	4.401186564752441e-03
6.667838912850933e-03	4.993613098718194e-03
7.121564550353492e-03	5.620709211683464e-03
7.479264034604149e-03	6.225952884846800e-03
7.922601100867167e-03	6.883595695331049e-03
8.271635915596497e-03	7.485578437872925e-03
8.553707971623987e-03	8.015297462861337e-03
8.945393391826022e-03	8.646778079248116e-03
9.231151825583716e-03	9.277387868317097e-03
9.634882444530094e-03	9.845833481118255e-03
9.942783438134994e-03	1.056175725077498e-02
1.032648731277269e-02	1.123430835916556e-02
1.066084015333828e-02	1.195103620101785e-02
1.099493137196289e-02	1.267289473982372e-02
1.132745285894166e-02	1.342553746035091e-02
1.165997434592042e-02	1.417818018087813e-02
1.200453407582209e-02	1.489678843043117e-02
1.221434708611645e-02	1.554470217498544e-02
1.253570603694697e-02	1.616988517750732e-02
1.274358335633282e-02	1.676916760787273e-02
1.296264812824225e-02	1.732223639109311e-02
1.318171290015168e-02	1.787530517431349e-02
1.342593075295767e-02	1.845464827532033e-02
1.364230455633136e-02	1.906048994149159e-02
1.396332713609491e-02	1.969226955438236e-02
1.417182113577019e-02	2.027945819907151e-02
1.439049347476816e-02	2.084022302772225e-02
1.455039680509186e-02	2.134122032395730e-02
1.479054249162294e-02	2.188496664534761e-02
1.500803753188652e-02	2.246881961028936e-02
1.527233383048001e-02	2.311622801960643e-02
1.541912118082952e-02	2.370125952910132e-02
1.570743603469616e-02	2.428173507936694e-02
1.591452848825909e-02	2.489640960059304e-02
1.607207722111402e-02	2.544358316941010e-02
1.635992115548691e-02	2.603329397419214e-02
1.656779847487276e-02	2.663257640455756e-02
1.678686324678219e-02	2.718564518777794e-02
1.694645263077672e-02	2.769279932035726e-02
1.718612739781404e-02	2.824578089626399e-02
1.740362243807763e-02	2.882963386120573e-02
1.766960059200595e-02	2.944405921867850e-02
1.787747791139180e-02	3.004334164904392e-02
1.809654268330123e-02	3.059641043226430e-02
1.831560745521066e-02	3.114947921548467e-02
1.853467222712009e-02	3.170254799870506e-02
1.875334456611806e-02	3.226331282735578e-02
1.891191362454278e-02	3.279047667805399e-02
1.915143141841552e-02	3.334653667213286e-02
1.941740957234385e-02	3.396096202960562e-02
1.962528689172970e-02	3.456024445997102e-02
