time	vel
3.130217959164162e-04	3.727801676271514e-04
1.076020260919117e-03	6.602541889109692e-04
1.654509266384011e-03	1.228993690505942e-03
2.109451863262730e-03	1.810385416113697e-03
2.482059168845814e-03	2.409594587281905e-03
2.907628484854461e-03	3.007768060676694e-03
3.309846189358773e-03	3.666962453118927e-03
3.682927731044165e-03	4.419705562409240e-03
4.044203052049253e-03	5.160737298239682e-03
4.222567315008016e-03	5.747878854304542e-03
4.492124696346664e-03	6.327010054491308e-03
4.741264632693965e-03	6.964460439359360e-03
5.040613751806294e-03	7.662285314302075e-03
5.307452856971859e-03	8.314012746400118e-03
5.486016299093593e-03	8.965638556476252e-03
5.786628542300637e-03	9.754853809434721e-03
6.055797426413257e-03	1.052575508034231e-02
6.196094531613079e-03	1.117295017026260e-02
6.466110736380707e-03	1.190062545558247e-02
6.715843467855892e-03	1.272999326310313e-02
6.965647334746420e-03	1.358239116134209e-02
7.215593472467641e-03	1.448084924101768e-02
7.465628529458049e-03	1.540809493409118e-02
7.715716938009959e-03	1.635261319520338e-02
8.012061150390701e-03	1.726839719447922e-02
8.179724783811008e-03	1.796360297351941e-02
8.387353817903107e-03	1.873699229026375e-02
8.555035235177248e-03	1.943795559198352e-02
8.762664269269339e-03	2.021134490872785e-02
8.930426984161022e-03	2.093862831412570e-02
9.144625881970445e-03	2.169557518772287e-02
9.258497874069536e-03	2.236138319780855e-02
9.384028170350354e-03	2.299101461493981e-02
9.645514053227736e-03	2.381491261713044e-02
9.718081661602838e-03	2.444536039783780e-02
9.843374839832511e-03	2.499822484590802e-02
9.714183440841871e-03	2.318331142647426e-02
1.009276612131403e-02	2.571704821798076e-02
1.025994225131250e-02	2.649258429993823e-02
1.034426301108980e-02	2.711756227531557e-02
1.051081314943322e-02	2.769043355895189e-02
1.059513390921053e-02	2.831541153432923e-02
1.076168404755394e-02	2.888828281796554e-02
1.088716692022454e-02	2.950256084128458e-02
1.101269721650536e-02	3.013219225841582e-02
1.113820380098107e-02	3.075414697864096e-02
1.126378152087212e-02	3.139913178958441e-02
1.138935924076317e-02	3.204411660052787e-02
1.151493696065422e-02	3.268910141147131e-02
1.164051468054528e-02	3.333408622241478e-02
1.176616353585168e-02	3.400210112407655e-02
1.189178867935296e-02	3.466243932883223e-02
1.197609046968617e-02	3.528127594668468e-02
1.212222790539927e-02	3.591400175438349e-02
1.224792418431590e-02	3.659737004985747e-02
1.237364417503764e-02	3.728841504223755e-02
1.249936416575939e-02	3.797946003461763e-02
1.262508415648114e-02	3.867050502699772e-02
1.275080414720288e-02	3.936155001937779e-02
1.287654784972975e-02	4.006027170866398e-02
1.303464913317048e-02	4.075574064639845e-02
1.314853806227322e-02	4.142703201141704e-02
1.326845430640958e-02	4.214439033267374e-02
1.339435721677079e-02	4.289465555832948e-02
1.352026012713201e-02	4.364492078398521e-02
1.364620368630198e-02	4.440834606148000e-02
1.377210659666318e-02	4.515861128713575e-02
