time	force
0.000000000000000e+00	2.532213531664080e-01
4.086265607264394e-02	4.127862013610564e-01
5.862212319520932e-02	8.299432422973503e-01
6.774533708888608e-02	1.369694172929627e+00
8.051783654003319e-02	1.973497956190988e+00
9.329033599118119e-02	2.604744062275934e+00
9.876426432738672e-02	3.089589581220315e+00
1.042381926635931e-01	3.492108131693950e+00
1.151860493360051e-01	4.004427122523007e+00
1.297831915658874e-01	4.489324556569208e+00
1.389064054595650e-01	4.965043400613125e+00
1.498542621319769e-01	5.312708454500688e+00
1.626267615831241e-01	5.761005741761752e+00
1.845224749279479e-01	6.300829353536580e+00
2.228399732813902e-01	6.877336176259465e+00
2.629821144135684e-01	7.289199445061220e+00
3.067735411032171e-01	7.655346275197735e+00
3.523896105716009e-01	7.994061165531029e+00
3.980056800399847e-01	8.341923496805521e+00
4.673421056319276e-01	8.662478484521166e+00
5.257306745514585e-01	8.873201882820300e+00
5.914178145859310e-01	9.001639844730143e+00
6.644035257353451e-01	9.166709102486218e+00
7.337399513272889e-01	9.295167830436789e+00
8.213228047065853e-01	9.432877829532202e+00
8.760620880686458e-01	9.469779083907916e+00
9.308013714307064e-01	9.515827779224825e+00
9.782420836778254e-01	9.561834942460273e+00
1.034806009818622e+00	9.580451697973963e+00
1.078597436508270e+00	9.598995772345102e+00
1.112201274349979e+00	9.577842964107361e+00
1.136529844733117e+00	9.462113819123765e+00
1.148998237054475e+00	9.279235950939039e+00
1.151583147657684e+00	9.050564636688039e+00
1.151583147657684e+00	8.437686093628033e+00
1.162531004330096e+00	7.120516896218270e+00
1.164647589953429e+00	6.269816932990841e+00
1.175011560936646e+00	5.001308798821713e+00
1.211796359355951e+00	1.787473271414305e+00
1.272228528187664e+00	6.154811260253421e-01
1.393092865851094e+00	2.868610234113032e-01
1.498192289906251e+00	3.718510123323249e-02
1.595409257157270e+00	2.456599360293943e-02
1.661096397191743e+00	1.176746738074641e-02
1.713646109219320e+00	1.206649836724516e-02
