vel	force
6.234413965087240e-04	2.697452229299363e+01
6.234413965087275e-03	2.702760084925690e+01
1.246882793017456e-02	2.686836518046709e+01
1.745635910224438e-02	2.676220806794055e+01
2.369077306733167e-02	2.633757961783439e+01
2.930174563591022e-02	2.601910828025478e+01
3.491271820448877e-02	2.554140127388535e+01
4.052369077306733e-02	2.495753715498938e+01
4.488778054862844e-02	2.442675159235669e+01
5.112219451371569e-02	2.384288747346072e+01
5.548628428927679e-02	2.325902335456475e+01
6.109725685785536e-02	2.262208067940552e+01
6.546134663341645e-02	2.203821656050955e+01
6.920199501246882e-02	2.145435244161359e+01
7.418952618453864e-02	2.087048832271762e+01
7.730673316708228e-02	2.044585987261146e+01
8.104738154613467e-02	1.991507430997877e+01
8.478802992518703e-02	1.949044585987261e+01
8.915211970074813e-02	1.906581740976645e+01
9.226932668329177e-02	1.864118895966030e+01
9.538653366583538e-02	1.826963906581741e+01
9.912718204488777e-02	1.795116772823779e+01
1.022443890274314e-01	1.757961783439490e+01
1.053615960099751e-01	1.726114649681529e+01
1.078553615960100e-01	1.688959660297240e+01
1.109725685785536e-01	1.662420382165605e+01
1.134663341645885e-01	1.635881104033970e+01
1.165835411471322e-01	1.609341825902335e+01
1.184538653366584e-01	1.588110403397028e+01
1.215710723192020e-01	1.561571125265393e+01
1.234413965087282e-01	1.540339702760085e+01
1.265586034912718e-01	1.516454352441614e+01
1.296758104738155e-01	1.487261146496815e+01
1.321695760598504e-01	1.460721868365180e+01
1.346633416458853e-01	1.439490445859873e+01
1.371571072319202e-01	1.407643312101911e+01
1.396508728179551e-01	1.375796178343949e+01
1.421446384039900e-01	1.343949044585987e+01
1.446384039900249e-01	1.306794055201699e+01
1.471321695760598e-01	1.274946921443737e+01
1.490024937655860e-01	1.237791932059448e+01
1.508728179551122e-01	1.200636942675159e+01
1.521197007481297e-01	1.168789808917198e+01
1.539900249376558e-01	1.131634819532909e+01
1.552369077306733e-01	1.094479830148620e+01
1.564837905236907e-01	1.057324840764331e+01
1.583541147132169e-01	1.014861995753716e+01
1.596009975062344e-01	9.777070063694268e+00
1.608478802992519e-01	9.352441613588109e+00
1.608478802992519e-01	9.033970276008493e+00
1.614713216957606e-01	8.768577494692146e+00
1.620947630922693e-01	8.397027600849260e+00
1.620947630922693e-01	8.078556263269640e+00
1.620947630922693e-01	7.707006369426750e+00
1.620947630922693e-01	7.441613588110403e+00
1.617830423940149e-01	7.202760084925693e+00
1.608478802992519e-01	6.884288747346073e+00
1.602244389027431e-01	6.645435244161362e+00
1.596009975062344e-01	6.406581740976645e+00
1.589775561097257e-01	6.220806794055203e+00
1.577306733167082e-01	5.981953290870489e+00
1.564837905236907e-01	5.743099787685775e+00
1.543017456359102e-01	5.610403397027603e+00
1.521197007481297e-01	5.530785562632698e+00
1.496259351620947e-01	5.477707006369425e+00
1.468204488778055e-01	5.398089171974522e+00
1.446384039900249e-01	5.159235668789812e+00
1.427680798004987e-01	4.946921443736731e+00
1.408977556109725e-01	4.628450106157114e+00
1.390274314214464e-01	4.416135881104037e+00
1.365336658354115e-01	4.097664543524417e+00
1.346633416458853e-01	3.885350318471339e+00
