vel	force
0.000000000000000e+00	2.708067940552017e+01
1.745635910224438e-02	2.708067940552017e+01
3.054862842892768e-02	2.692144373673036e+01
6.172069825436408e-02	2.660297239915074e+01
9.226932668329177e-02	2.596602972399151e+01
1.228179551122194e-01	2.501061571125265e+01
1.502493765586035e-01	2.389596602972399e+01
1.776807980049875e-01	2.256900212314225e+01
2.019950124688279e-01	2.118895966029724e+01
2.250623441396509e-01	1.975583864118896e+01
2.456359102244389e-01	1.832271762208068e+01
2.655860349127182e-01	1.688959660297240e+01
2.836658354114713e-01	1.550955414012739e+01
2.992518703241895e-01	1.428874734607219e+01
3.142144638403990e-01	1.317409766454352e+01
3.285536159600997e-01	1.216560509554140e+01
3.385286783042394e-01	1.136942675159236e+01
3.516209476309227e-01	1.057324840764331e+01
3.615960099750624e-01	9.883227176220807e+00
3.709476309226932e-01	9.352441613588109e+00
3.796758104738154e-01	8.874734607218684e+00
3.884039900249376e-01	8.343949044585987e+00
3.965087281795511e-01	7.972399150743101e+00
4.039900249376558e-01	7.547770700636946e+00
4.108478802992518e-01	7.123142250530783e+00
4.164588528678304e-01	6.751592356687897e+00
4.220698254364089e-01	6.326963906581742e+00
4.283042394014962e-01	5.849256900212314e+00
4.326683291770573e-01	5.477707006369428e+00
4.370324189526185e-01	5.000000000000000e+00
4.401496259351620e-01	4.575371549893845e+00
4.432668329177057e-01	4.097664543524417e+00
4.445137157107232e-01	3.619957537154988e+00
4.470074812967580e-01	3.142250530785564e+00
4.482543640897756e-01	2.770700636942678e+00
4.488778054862842e-01	2.346072186836519e+00
4.495012468827930e-01	1.921443736730364e+00
4.488778054862842e-01	1.549893842887474e+00
4.482543640897756e-01	1.284501061571127e+00
4.470074812967580e-01	1.125265392781319e+00
4.451371571072319e-01	9.129511677282380e-01
4.438902743142145e-01	7.537154989384334e-01
4.420199501246882e-01	6.475583864118910e-01
4.401496259351620e-01	5.944798301486216e-01
4.376558603491272e-01	4.883227176220792e-01
4.345386533665835e-01	3.821656050955440e-01
4.314214463840399e-01	3.290870488322710e-01
4.289276807980050e-01	2.760084925690052e-01
4.258104738154613e-01	2.229299363057322e-01
4.226932668329177e-01	2.229299363057322e-01
4.195760598503741e-01	1.698513800424664e-01
4.158354114713217e-01	1.698513800424664e-01
4.145885286783042e-01	1.963906581741028e-01
4.108478802992518e-01	1.963906581741028e-01
