vel	force
0.000000000000000e+00	2.777070063694267e+01
1.558603491271821e-02	2.771762208067940e+01
2.992518703241895e-02	2.739915074309979e+01
4.426433915211969e-02	2.692144373673036e+01
5.860349127182045e-02	2.623142250530785e+01
7.231920199501246e-02	2.538216560509554e+01
8.541147132169574e-02	2.447983014861996e+01
9.788029925187031e-02	2.347133757961783e+01
1.103491271820449e-01	2.251592356687898e+01
1.209476309226933e-01	2.150743099787686e+01
1.321695760598504e-01	2.055201698513800e+01
1.427680798004987e-01	1.959660297239915e+01
1.514962593516209e-01	1.869426751592357e+01
1.602244389027431e-01	1.779193205944798e+01
1.683291770573566e-01	1.699575371549894e+01
1.764339152119701e-01	1.625265392781316e+01
1.845386533665835e-01	1.550955414012739e+01
1.907730673316708e-01	1.492569002123142e+01
1.976309226932668e-01	1.428874734607219e+01
2.038653366583541e-01	1.386411889596603e+01
2.094763092269327e-01	1.333333333333333e+01
2.163341645885287e-01	1.285562632696391e+01
2.206982543640897e-01	1.248407643312102e+01
2.263092269326683e-01	1.205944798301486e+01
2.319201995012469e-01	1.168789808917198e+01
2.362842892768079e-01	1.126326963906582e+01
2.406483790523691e-01	1.089171974522293e+01
2.450124688279302e-01	1.046709129511677e+01
2.493765586034913e-01	1.009554140127388e+01
2.518703241895262e-01	9.670912951167729e+00
2.556109725685785e-01	9.246284501061570e+00
2.593516209476309e-01	8.927813163481954e+00
2.624688279301745e-01	8.503184713375795e+00
2.655860349127182e-01	8.078556263269640e+00
2.674563591022444e-01	7.760084925690023e+00
2.693266832917706e-01	7.388535031847137e+00
2.718204488778055e-01	7.016985138004248e+00
2.743142144638404e-01	6.698513800424628e+00
2.755610972568578e-01	6.380042462845012e+00
2.761845386533666e-01	6.008492569002126e+00
2.774314214463841e-01	5.743099787685775e+00
2.793017456359102e-01	5.424628450106159e+00
2.799251870324189e-01	5.000000000000000e+00
2.811720698254364e-01	4.628450106157114e+00
2.817955112219451e-01	4.256900212314228e+00
2.817955112219451e-01	3.938428874734608e+00
2.811720698254364e-01	3.619957537154988e+00
2.805486284289277e-01	3.301486199575372e+00
2.796134663341646e-01	3.036093418259025e+00
2.780548628428927e-01	2.717622080679405e+00
2.768079800498753e-01	2.452229299363058e+00
2.736907730673316e-01	2.186836518046711e+00
2.705735660847881e-01	1.974522292993630e+00
2.674563591022444e-01	1.815286624203821e+00
2.649625935162095e-01	1.656050955414013e+00
2.605985037406484e-01	1.390658174097666e+00
2.574812967581047e-01	1.178343949044589e+00
2.524937655860349e-01	1.019108280254780e+00
2.487531172069825e-01	9.129511677282380e-01
2.450124688279302e-01	8.067940552016992e-01
