vel	force
-6.234413965087310e-04	2.734607218683652e+01
9.351620947630923e-03	2.729299363057325e+01
1.870324189526185e-02	2.708067940552017e+01
2.618453865336658e-02	2.681528662420382e+01
3.615960099750623e-02	2.633757961783439e+01
4.426433915211969e-02	2.585987261146497e+01
5.112219451371569e-02	2.522292993630573e+01
5.985037406483790e-02	2.453290870488323e+01
6.795511221945136e-02	2.389596602972399e+01
7.481296758104738e-02	2.320594479830148e+01
8.229426433915210e-02	2.240976645435244e+01
8.915211970074813e-02	2.166666666666666e+01
9.538653366583538e-02	2.102972399150743e+01
1.016209476309227e-01	2.033970276008493e+01
1.066084788029925e-01	1.964968152866242e+01
1.122194513715711e-01	1.901273885350319e+01
1.178304239401496e-01	1.842887473460722e+01
1.240648379052369e-01	1.779193205944798e+01
1.271820448877805e-01	1.731422505307856e+01
1.321695760598504e-01	1.688959660297240e+01
1.371571072319202e-01	1.646496815286624e+01
1.421446384039900e-01	1.604033970276009e+01
1.452618453865337e-01	1.577494692144374e+01
1.490024937655860e-01	1.540339702760085e+01
1.539900249376558e-01	1.508492569002123e+01
1.571072319201995e-01	1.481953290870488e+01
1.614713216957606e-01	1.444798301486200e+01
1.645885286783042e-01	1.418259023354565e+01
1.683291770573566e-01	1.386411889596603e+01
1.708229426433915e-01	1.359872611464968e+01
1.745635910224439e-01	1.333333333333333e+01
1.764339152119701e-01	1.301486199575372e+01
1.807980049875312e-01	1.264331210191083e+01
1.832917705735661e-01	1.243099787685775e+01
1.857855361596010e-01	1.211252653927813e+01
1.882793017456359e-01	1.184713375796178e+01
1.907730673316708e-01	1.163481953290870e+01
1.926433915211970e-01	1.126326963906582e+01
1.951371571072319e-01	1.099787685774947e+01
1.970074812967581e-01	1.073248407643312e+01
1.995012468827930e-01	1.041401273885350e+01
2.007481296758105e-01	1.009554140127388e+01
2.026184538653367e-01	9.777070063694268e+00
2.044887780548628e-01	9.405520169851382e+00
2.057356608478803e-01	9.087048832271762e+00
2.072942643391521e-01	8.715498938428876e+00
2.079177057356608e-01	8.450106157112529e+00
2.088528678304239e-01	8.131634819532909e+00
2.094763092269327e-01	7.813163481953293e+00
2.100997506234414e-01	7.441613588110403e+00
2.113466334164589e-01	7.176220806794056e+00
2.125935162094763e-01	6.857749469214436e+00
2.132169576059850e-01	6.486199575371550e+00
2.138403990024937e-01	6.114649681528661e+00
2.132169576059850e-01	5.796178343949045e+00
2.132169576059850e-01	5.477707006369428e+00
2.125935162094763e-01	5.212314225053078e+00
2.116583541147132e-01	4.920382165605094e+00
2.097880299251870e-01	4.548832271762208e+00
2.082294264339152e-01	4.309978768577494e+00
2.066708229426434e-01	3.991507430997878e+00
2.051122194513715e-01	3.673036093418261e+00
2.026184538653367e-01	3.407643312101914e+00
2.001246882793017e-01	3.195329087048833e+00
1.976309226932668e-01	3.089171974522294e+00
1.945137157107232e-01	2.983014861995752e+00
1.913965087281795e-01	2.929936305732486e+00
1.882793017456359e-01	2.876857749469217e+00
1.851620947630923e-01	2.876857749469217e+00
1.832917705735661e-01	2.876857749469217e+00
