vel	force
3.387757022538240e-05	2.519661098425670e+01
8.054392321084083e-03	2.500693025678003e+01
1.117348139086247e-02	2.489312182029403e+01
1.607490707194277e-02	2.470344109281737e+01
1.919399614172117e-02	2.447582421984537e+01
2.231308521149955e-02	2.424820734687337e+01
2.587775843410342e-02	2.402059047390137e+01
2.944243165670728e-02	2.379297360092938e+01
3.256152072648567e-02	2.345154829147138e+01
3.568060979626406e-02	2.326186756399471e+01
3.969086717169341e-02	2.288250610904138e+01
4.370112454712276e-02	2.254108079958338e+01
4.592904531125018e-02	2.227552778111605e+01
4.904813438102856e-02	2.193410247165805e+01
5.261280760363242e-02	2.159267716220005e+01
5.528631252058533e-02	2.128918799823739e+01
5.840540159036371e-02	2.094776268877939e+01
6.152449066014211e-02	2.068220967031206e+01
6.330682727144403e-02	2.034078436085406e+01
6.598033218839694e-02	2.007523134238673e+01
6.909942125817531e-02	1.973380603292873e+01
7.088175786947726e-02	1.950618915995673e+01
7.310967863360468e-02	1.920269999599407e+01
7.622876770338305e-02	1.893714697752674e+01
7.890227262033594e-02	1.867159395905941e+01
8.113019338446337e-02	1.840604094059208e+01
8.424928245424174e-02	1.814048792212474e+01
8.647720321836916e-02	1.783699875816208e+01
8.825953982967108e-02	1.764731803068541e+01
9.048746059379853e-02	1.741970115771342e+01
9.316096551075140e-02	1.719208428474142e+01
9.494330212205335e-02	1.700240355726475e+01
9.806239119183174e-02	1.673685053879742e+01
1.002903119559592e-01	1.650923366582542e+01
1.025182327200866e-01	1.624368064735809e+01
1.043005693313885e-01	1.597812762889076e+01
1.060829059426904e-01	1.575051075591876e+01
1.083108267068179e-01	1.544702159195609e+01
1.100931633181198e-01	1.518146857348876e+01
1.114299157765963e-01	1.491591555502143e+01
1.132122523878982e-01	1.465036253655410e+01
1.145490048463746e-01	1.438480951808677e+01
1.154401731520256e-01	1.408132035412410e+01
1.167769256105020e-01	1.381576733565677e+01
1.181136780689785e-01	1.355021431718944e+01
1.190048463746295e-01	1.324672515322677e+01
1.207871829859314e-01	1.301910828025478e+01
1.216783512915824e-01	1.275355526178744e+01
1.221239354444079e-01	1.248800224332011e+01
1.234606879028843e-01	1.218451307935745e+01
1.239062720557098e-01	1.188102391539478e+01
1.247974403613607e-01	1.153959860593678e+01
1.252430245141862e-01	1.131198173296479e+01
1.256886086670117e-01	1.108436485999279e+01
1.265797769726627e-01	1.085674798702079e+01
1.265797769726627e-01	1.059119496855346e+01
1.270253611254882e-01	1.032564195008613e+01
1.270253611254882e-01	1.009802507711413e+01
1.274709452783137e-01	9.832472058646797e+00
1.270253611254882e-01	9.642791331170130e+00
1.270253611254882e-01	9.491046749188797e+00
1.265797769726627e-01	9.187557585226134e+00
1.265797769726627e-01	8.959940712254138e+00
1.256886086670117e-01	8.694387693786805e+00
1.247974403613607e-01	8.352962384328805e+00
1.239062720557098e-01	8.125345511356809e+00
1.234606879028843e-01	7.821856347394142e+00
1.221239354444079e-01	7.556303328926813e+00
1.198960146802804e-01	7.290750310459480e+00
1.176680939161530e-01	6.987261146496813e+00
1.158857573048511e-01	6.721708128029483e+00
1.145490048463746e-01	6.532027400552820e+00
1.123210840822472e-01	6.342346673076154e+00
1.100931633181198e-01	6.076793654608821e+00
1.074196584011669e-01	5.849176781636821e+00
1.047461534842140e-01	5.697432199655491e+00
1.020726485672611e-01	5.545687617674158e+00
9.984472780313366e-02	5.507751472178825e+00
